LLM可训练总参数量：25.830 百万
Epoch:[1/1](15100/22080) loss:2.471 lr:0.000163482456 epoch_Time:16.0min:
Epoch:[1/1](15200/22080) loss:2.229 lr:0.000160516488 epoch_Time:16.0min:
Epoch:[1/1](15300/22080) loss:2.468 lr:0.000157578757 epoch_Time:16.0min:
Epoch:[1/1](15400/22080) loss:2.205 lr:0.000154669857 epoch_Time:15.0min:
Epoch:[1/1](15500/22080) loss:2.528 lr:0.000151790378 epoch_Time:15.0min:
Epoch:[1/1](15600/22080) loss:2.192 lr:0.000148940903 epoch_Time:15.0min:
Epoch:[1/1](15700/22080) loss:2.973 lr:0.000146122007 epoch_Time:15.0min:
Epoch:[1/1](15800/22080) loss:1.735 lr:0.000143334263 epoch_Time:15.0min:
Epoch:[1/1](15900/22080) loss:2.411 lr:0.000140578234 epoch_Time:14.0min:
Epoch:[1/1](16000/22080) loss:2.243 lr:0.000137854478 epoch_Time:14.0min:
Epoch:[1/1](16100/22080) loss:2.791 lr:0.000135163546 epoch_Time:14.0min:
Epoch:[1/1](16200/22080) loss:2.084 lr:0.000132505984 epoch_Time:14.0min:
Epoch:[1/1](16300/22080) loss:2.432 lr:0.000129882329 epoch_Time:13.0min:
Epoch:[1/1](16400/22080) loss:2.485 lr:0.000127293113 epoch_Time:13.0min:
Epoch:[1/1](16500/22080) loss:2.207 lr:0.000124738859 epoch_Time:13.0min:
Epoch:[1/1](16600/22080) loss:2.358 lr:0.000122220085 epoch_Time:13.0min:
Epoch:[1/1](16700/22080) loss:2.387 lr:0.000119737301 epoch_Time:12.0min:
Epoch:[1/1](16800/22080) loss:2.450 lr:0.000117291009 epoch_Time:12.0min:
Epoch:[1/1](16900/22080) loss:2.607 lr:0.000114881704 epoch_Time:12.0min:
Epoch:[1/1](17000/22080) loss:2.172 lr:0.000112509875 epoch_Time:12.0min:
Epoch:[1/1](17100/22080) loss:2.665 lr:0.000110176000 epoch_Time:12.0min:
Epoch:[1/1](17200/22080) loss:2.238 lr:0.000107880554 epoch_Time:11.0min:
Epoch:[1/1](17300/22080) loss:2.440 lr:0.000105624000 epoch_Time:11.0min:
Epoch:[1/1](17400/22080) loss:2.495 lr:0.000103406795 epoch_Time:11.0min:
Epoch:[1/1](17500/22080) loss:2.435 lr:0.000101229389 epoch_Time:11.0min:
Epoch:[1/1](17600/22080) loss:1.674 lr:0.000099092221 epoch_Time:10.0min:
Epoch:[1/1](17700/22080) loss:2.101 lr:0.000096995725 epoch_Time:10.0min:
Epoch:[1/1](17800/22080) loss:2.639 lr:0.000094940325 epoch_Time:10.0min:
Epoch:[1/1](17900/22080) loss:2.544 lr:0.000092926437 epoch_Time:10.0min:
Epoch:[1/1](18000/22080) loss:2.417 lr:0.000090954469 epoch_Time:10.0min:
Epoch:[1/1](18100/22080) loss:2.073 lr:0.000089024820 epoch_Time:9.0min:
Epoch:[1/1](18200/22080) loss:2.090 lr:0.000087137880 epoch_Time:9.0min:
Epoch:[1/1](18300/22080) loss:2.082 lr:0.000085294032 epoch_Time:9.0min:
Epoch:[1/1](18400/22080) loss:2.282 lr:0.000083493649 epoch_Time:9.0min:
Epoch:[1/1](18500/22080) loss:2.161 lr:0.000081737095 epoch_Time:8.0min:
Epoch:[1/1](18600/22080) loss:2.149 lr:0.000080024726 epoch_Time:8.0min:
Epoch:[1/1](18700/22080) loss:2.098 lr:0.000078356889 epoch_Time:8.0min:
Epoch:[1/1](18800/22080) loss:2.106 lr:0.000076733921 epoch_Time:8.0min:
Epoch:[1/1](18900/22080) loss:2.206 lr:0.000075156151 epoch_Time:7.0min:
Epoch:[1/1](19000/22080) loss:2.057 lr:0.000073623898 epoch_Time:7.0min:
Epoch:[1/1](19100/22080) loss:2.284 lr:0.000072137472 epoch_Time:7.0min:
Epoch:[1/1](19200/22080) loss:2.691 lr:0.000070697175 epoch_Time:7.0min:
Epoch:[1/1](19300/22080) loss:2.092 lr:0.000069303297 epoch_Time:7.0min:
Epoch:[1/1](19400/22080) loss:2.409 lr:0.000067956121 epoch_Time:6.0min:
